MasterTable_ID,Alias,Latitude,Longitude,Date/Time/GMT,Start Date/Time (GMT),COncRT,ConcHr,Flow,W/S,W/D,AT,RHx,RHi,BV,FT,Alarm,Type,Serial Number,Version,Sys. Volts,TimeStamp,PDate
70582610,USFS1032,,,2/23/2021 6:00:00 PM,23-FEB-2021 17:00:0,,,,,,,,,,,,, G6839 ,3613-01 R1.57.0,,2/23/2021 6:44:22 PM,2/23/2021 6:44:00 PM
70582665,USFS1032,33.77912,-84.39579,2/23/2021 6:00:00 PM,,,,,,,,,,,,,,,,12.45,2/23/2021 6:49:49 PM,2/23/2021 6:52:00 PM
70583257,USFS1032,,,2/23/2021 7:00:00 PM,,-0.000,-0.000,0.0,1.8,42,22.4,21,29,14.4,23.7,0,PM 2.5,,,,2/23/2021 7:41:01 PM,2/23/2021 7:42:00 PM
70583714,USFS1032,,,2/23/2021 8:00:00 PM,,0.004,0.008,11.4,1.7,321,23.2,20,17,14.1,24.9,257,PM 2.5,,,,2/23/2021 8:41:02 PM,2/23/2021 8:42:00 PM
70584344,USFS1032,,,2/23/2021 9:00:00 PM,,0.005,0.005,16.7,1.7,307,23.9,19,12,14.0,28.5,0,PM 2.5,,,,2/23/2021 9:41:03 PM,2/23/2021 9:43:00 PM
70585063,USFS1032,,,2/23/2021 10:00:00 PM,,0.007,0.006,16.7,1.4,312,23.7,20,12,14.0,29.2,0,PM 2.5,,,,2/23/2021 10:41:04 PM,2/23/2021 10:44:00 PM
70586114,USFS1032,,,2/23/2021 11:00:00 PM,,0.001,0.002,16.7,1.7,318,22.1,22,14,14.0,25.4,0,PM 2.5,,,,2/23/2021 11:41:05 PM,2/23/2021 11:44:00 PM
70586740,USFS1032,,,2/24/2021 12:00:00 AM,,0.006,0.009,16.7,0.9,312,20.9,26,17,14.0,22.7,0,PM 2.5,,,,2/24/2021 12:41:06 AM,2/24/2021 12:42:00 AM
70587393,USFS1032,,,2/24/2021 1:00:00 AM,,0.005,0.008,16.6,0.6,178,19.1,29,19,14.1,20.9,0,PM 2.5,,,,2/24/2021 1:41:07 AM,2/24/2021 1:42:00 AM
70587819,USFS1032,,,2/24/2021 2:00:00 AM,,0.011,0.010,16.7,0.5,167,18.0,32,20,14.0,19.5,0,PM 2.5,,,,2/24/2021 2:41:08 AM,2/24/2021 2:42:00 AM
